ID,title,author,genre,publishedOn,price
1,The Alchemist,Paulo Coelho,Fiction,1988-04-15,299.99
2,Sapiens,Yuval Noah Harari,History,2011-06-04,499.50
3,Atomic Habits,James Clear,Self-help,2018-10-16,399.00
4,Thinking, Fast and Slow,Daniel Kahneman,Psychology,2011-10-25,450.00
5,The Power of Now,Eckhart Tolle,Spirituality,1997-08-19,350.75
6,Educated,Tara Westover,Biography,2018-02-20,420.00
7,Becoming,Michelle Obama,Biography,2018-11-13,550.00
8,Deep Work,Cal Newport,Productivity,2016-01-05,375.25
9,Ikigai,Héctor García,Fiction,2016-11-01,299.00
10,Rich Dad Poor Dad,Robert Kiyosaki,Finance,1997-04-01,325.00